iter	Passed	Remaining
1538	23898	22686
1539	23913	22670
1540	23928	22654
1541	23944	22639
1542	23959	22624
1543	23975	22608
1544	23991	22593
1545	24006	22577
1546	24021	22562
1547	24037	22547
1548	24052	22531
1549	24068	22515
1550	24084	22500
1551	24100	22485
1552	24115	22469
1553	24131	22454
1554	24147	22439
1555	24163	22424
1556	24178	22408
1557	24193	22392
1558	24208	22376
1559	24224	22361
1560	24239	22345
1561	24255	22329
1562	24270	22313
1563	24285	22298
1564	24301	22282
1565	24316	22266
1566	24331	22250
1567	24346	22234
1568	24361	22218
1569	24375	22202
1570	24391	22186
1571	24406	22170
1572	24422	22155
1573	24438	22140
1574	24453	22124
1575	24468	22108
1576	24483	22093
1577	24498	22076
1578	24513	22060
1579	24529	22045
1580	24544	22029
1581	24559	22013
1582	24575	21998
1583	24590	21982
1584	24605	21966
1585	24622	21951
1586	24636	21935
1587	24652	21920
1588	24668	21904
1589	24683	21888
1590	24698	21872
1591	24713	21856
1592	24729	21841
1593	24744	21826
1594	24760	21810
1595	24775	21795
1596	24791	21779
1597	24806	21764
1598	24822	21749
1599	24838	21733
1600	24853	21718
1601	24868	21701
1602	24883	21686
1603	24899	21670
1604	24914	21654
1605	24931	21640
1606	24947	21625
1607	24962	21609
1608	24978	21593
1609	24993	21578
1610	25008	21562
1611	25023	21546
1612	25039	21531
1613	25055	21516
1614	25070	21500
1615	25085	21484
1616	25101	21469
1617	25117	21453
1618	25133	21438
1619	25149	21423
1620	25164	21407
1621	25179	21392
1622	25195	21376
1623	25210	21360
1624	25226	21345
1625	25242	21330
1626	25257	21314
1627	25273	21299
1628	25288	21283
1629	25303	21267
1630	25318	21251
1631	25335	21236
1632	25350	21220
1633	25364	21204
1634	25380	21189
1635	25396	21173
1636	25412	21158
1637	25427	21143
1638	25443	21128
1639	25459	21112
1640	25474	21096
1641	25490	21081
1642	25506	21066
1643	25521	21050
1644	25537	21035
1645	25553	21020
1646	25568	21004
1647	25584	20989
1648	25599	20973
1649	25614	20957
1650	25629	20941
1651	25644	20925
1652	25660	20910
1653	25676	20895
1654	25691	20879
1655	25706	20863
1656	25722	20848
1657	25738	20832
1658	25753	20816
1659	25768	20801
1660	25784	20786
1661	25800	20770
1662	25815	20754
1663	25830	20738
1664	25845	20723
1665	25860	20706
1666	25875	20691
1667	25890	20675
